,Standard,Expected,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
131,Tommy Doyle,eng ENG,MF,Wolves,23-101,2001,4.9,0,8,2,25.0,1.62,0.41,0.00,0.00,24.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,,,,
132,Radu Drăgușin,ro ROU,DF,Tottenham,22-358,2002,12.9,0,4,1,25.0,0.31,0.08,0.00,0.00,12.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,,,,
133,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-011,1989,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
134,Lewis Dunk,eng ENG,DF,Brighton,33-066,1991,16.4,0,10,2,20.0,0.61,0.12,0.00,0.00,13.4,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,,,,
135,Jhon Durán,co COL,FW,Aston Villa,21-044,2003,6.8,7,29,15,51.7,4.26,2.20,0.24,0.47,15.7,0,0,0,4.8,4.8,0.16,+2.2,+2.2,Matches,,,,
136,Ederson,br BRA,GK,Manchester City,31-162,1993,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
137,George Edmundson,eng ENG,DF,Ipswich Town,27-148,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
138,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-010,1998,1.3,0,5,1,20.0,3.91,0.78,0.00,0.00,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,,,,
139,Odsonne Édouard,fr FRA,FW,Leicester City,27-010,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
140,Samuel Edozie,eng ENG,"DF,FW",Southampton,21-364,2003,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
141,Ronnie Edwards,eng ENG,DF,Southampton,21-304,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
142,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-274,2002,15.2,3,26,12,46.2,1.71,0.79,0.12,0.25,17.6,4,0,0,2.4,2.4,0.09,+0.6,+0.6,Matches,,,,
143,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-297,2003,0.9,0,2,0,0.0,2.20,0.00,0.00,,13.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,
144,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-016,2006,0.2,0,1,0,0.0,4.29,0.00,0.00,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches,,,,
145,Julio Enciso,py PAR,MF,Ipswich Town,21-003,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
146,Julio Enciso,py PAR,"MF,FW",Brighton,21-003,2004,3.3,0,20,11,55.0,6.12,3.37,0.00,0.00,21.3,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches,,,,
147,Wataru Endo,jp JPN,MF,Liverpool,31-352,1993,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
148,Christian Eriksen,dk DEN,MF,Manchester Utd,32-347,1992,7.0,0,3,0,0.0,0.43,0.00,0.00,,22.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,,,,
149,Pervis Estupiñán,ec ECU,DF,Brighton,27-005,1998,15.7,0,14,4,28.6,0.89,0.25,0.00,0.00,25.5,2,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,,,,
150,Evanilson,br BRA,FW,Bournemouth,25-112,1999,15.2,5,42,20,47.6,2.76,1.31,0.12,0.25,13.5,0,0,1,6.6,5.8,0.14,-1.6,-0.8,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
151,Jonny Evans,nir NIR,DF,Manchester Utd,37-023,1988,3.2,0,1,0,0.0,0.31,0.00,0.00,,8.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,,,,
152,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-211,1998,16.6,2,60,18,30.0,3.62,1.09,0.03,0.11,20.6,8,0,0,4.6,4.6,0.08,-2.6,-2.6,Matches,,,,
153,Łukasz Fabiański,pl POL,GK,West Ham,39-283,1985,11.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
154,Wout Faes,be BEL,DF,Leicester City,26-298,1998,16.3,1,7,1,14.3,0.43,0.06,0.14,1.00,9.1,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches,,,,
155,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-324,2004,6.4,0,13,5,38.5,2.02,0.78,0.00,0.00,31.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,,,,
156,João Félix,pt POR,"FW,MF",Chelsea,25-077,1999,4.1,1,20,5,25.0,4.88,1.22,0.05,0.20,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches,,,,
157,Evan Ferguson,ie IRL,FW,Brighton,20-099,2004,2.5,1,7,2,28.6,2.76,0.79,0.14,0.50,19.2,1,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches,,,,
158,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,30-140,1994,19.4,5,57,14,24.6,2.94,0.72,0.04,0.14,20.8,6,3,3,7.6,5.2,0.09,-2.6,-3.2,Matches,,,,
159,Mateus Fernandes,pt POR,MF,Southampton,20-200,2004,18.3,1,25,10,40.0,1.36,0.55,0.04,0.10,16.4,3,0,0,3.0,3.0,0.12,-2.0,-2.0,Matches,,,,
160,Enzo Fernández,ar ARG,MF,Chelsea,24-009,2001,17.8,3,25,9,36.0,1.40,0.51,0.12,0.33,18.4,2,0,0,2.3,2.3,0.09,+0.7,+0.7,Matches,,,,
161,Mark Flekken,nl NED,GK,Brentford,31-227,1993,21.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
162,Phil Foden,eng ENG,"MF,FW",Manchester City,24-243,2000,14.4,7,45,14,31.1,3.13,0.97,0.16,0.50,18.1,1,0,0,4.6,4.6,0.10,+2.4,+2.4,Matches,,,,
163,Wesley Fofana,fr FRA,DF,Chelsea,24-040,2000,11.3,0,2,0,0.0,0.18,0.00,0.00,,10.4,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches,,,,
164,Carlos Forbs,pt POR,"MF,FW",Wolves,20-313,2004,2.6,0,2,0,0.0,0.76,0.00,0.00,,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
165,Fraser Forster,eng ENG,GK,Tottenham,36-315,1988,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
166,Ryan Fraser,sct SCO,"FW,DF",Southampton,30-337,1994,3.4,0,1,1,100.0,0.29,0.29,0.00,0.00,31.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,,,,
167,Niclas Füllkrug,de GER,FW,West Ham,31-352,1993,4.1,2,8,3,37.5,1.95,0.73,0.25,0.67,10.3,0,0,0,1.4,1.4,0.18,+0.6,+0.6,Matches,,,,
168,Cody Gakpo,nl NED,FW,Liverpool,25-264,1999,13.7,8,41,16,39.0,2.99,1.17,0.20,0.50,15.2,0,0,0,5.4,5.4,0.13,+2.6,+2.6,Matches,,,,
169,Idrissa Gana Gueye,sn SEN,MF,Everton,35-122,1989,18.5,0,19,3,15.8,1.03,0.16,0.00,0.00,25.0,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches,,,,
170,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,20-209,2004,12.8,3,48,19,39.6,3.75,1.49,0.06,0.16,16.3,0,0,0,4.8,4.8,0.10,-1.8,-1.8,Matches,,,,
171,James Garner,eng ENG,"DF,MF",Everton,23-319,2001,3.0,0,2,0,0.0,0.68,0.00,0.00,,29.3,1,0,0,0.0,0.0,0.02,0.0,0.0,Matches,,,,
172,Tyrique George,eng ENG,FW,Chelsea,18-357,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
173,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,24-365,2000,16.7,4,32,14,43.8,1.92,0.84,0.13,0.29,16.5,3,0,0,3.0,3.0,0.10,+1.0,+1.0,Matches,,,,
174,Billy Gilmour,sct SCO,MF,Brighton,23-229,2001,1.1,0,1,0,0.0,0.92,0.00,0.00,,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,,,,
175,Ben Godfrey,eng ENG,DF,Ipswich Town,27-011,1998,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
176,Martial Godo,eng ENG,FW,Fulham,21-318,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
177,João Gomes,br BRA,MF,Wolves,23-349,2001,20.6,2,17,6,35.3,0.83,0.29,0.12,0.33,18.9,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches,,,,
178,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-203,2003,6.1,1,4,2,50.0,0.65,0.33,0.25,0.50,15.9,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches,,,,
179,Toti Gomes,pt POR,DF,Wolves,26-010,1999,14.0,0,2,0,0.0,0.14,0.00,0.00,,25.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,,,,
180,Diego Gómez,py PAR,MF,Brighton,21-305,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
181,Joe Gomez,eng ENG,DF,Liverpool,27-248,1997,5.8,0,3,2,66.7,0.52,0.35,0.00,0.00,11.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,,,,
182,Anthony Gordon,eng ENG,FW,Newcastle Utd,23-337,2001,19.6,6,47,15,31.9,2.40,0.76,0.11,0.33,16.2,0,1,2,7.3,5.7,0.12,-1.3,-0.7,Matches,,,,
183,Ryan Gravenberch,nl NED,MF,Liverpool,22-255,2002,21.1,0,12,3,25.0,0.57,0.14,0.00,0.00,24.1,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches,,,,
184,Archie Gray,eng ENG,DF,Tottenham,18-320,2006,8.7,0,1,1,100.0,0.11,0.11,0.00,0.00,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,,,,
185,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-138,1995,6.8,0,13,4,30.8,1.92,0.59,0.00,0.00,16.7,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,,,,
186,Jacob Greaves,eng ENG,DF,Ipswich Town,24-136,2000,13.0,1,7,3,42.9,0.54,0.23,0.14,0.33,9.1,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches,,,,
187,Brajan Gruda,de GER,"FW,MF",Brighton,20-240,2004,4.1,0,3,2,66.7,0.74,0.49,0.00,0.00,18.6,2,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches,,,,
188,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-058,1996,6.9,2,15,6,40.0,2.17,0.87,0.13,0.33,20.8,0,0,0,1.1,1.1,0.07,+0.9,+0.9,Matches,,,,
189,Marc Guéhi,eng ENG,DF,Crystal Palace,24-197,2000,21.0,3,10,5,50.0,0.48,0.24,0.30,0.60,9.3,0,0,0,1.5,1.5,0.15,+1.5,+1.5,Matches,,,,
190,Luis Guilherme,br BRA,"MF,FW",West Ham,18-352,2006,0.6,0,1,0,0.0,1.80,0.00,0.00,,23.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,,,,
191,Bruno Guimarães,br BRA,MF,Newcastle Utd,27-071,1997,22.2,2,27,6,22.2,1.21,0.27,0.07,0.33,18.6,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches,,,,
192,Marc Guiu,es ESP,FW,Chelsea,19-022,2006,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
193,İlkay Gündoğan,de GER,MF,Manchester City,34-094,1990,14.9,0,16,4,25.0,1.07,0.27,0.00,0.00,18.5,2,0,0,1.6,1.6,0.10,-1.6,-1.6,Matches,,,,
194,Malo Gusto,fr FRA,DF,Chelsea,21-252,2003,14.1,0,17,2,11.8,1.20,0.14,0.00,0.00,20.7,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches,,,,
195,Joško Gvardiol,hr CRO,DF,Manchester City,23-003,2002,21.5,5,33,10,30.3,1.54,0.47,0.15,0.50,13.7,0,0,0,4.0,3.7,0.11,+1.0,+1.3,Matches,,,,
196,Erling Haaland,no NOR,FW,Manchester City,24-189,2000,22.6,18,89,49,55.1,3.94,2.17,0.19,0.35,12.2,1,1,2,17.9,16.3,0.19,+0.1,+0.7,Matches,,,,
197,Lewis Hall,eng ENG,DF,Newcastle Utd,20-140,2004,20.4,0,11,1,9.1,0.54,0.05,0.00,0.00,19.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,,,,
198,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22-331,2002,1.5,0,4,0,0.0,2.69,0.00,0.00,,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,,,,
199,Marcus Harness,eng ENG,MF,Ipswich Town,28-337,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
200,Jack Harrison,eng ENG,FW,Everton,28-067,1996,11.1,0,15,3,20.0,1.35,0.27,0.00,0.00,14.6,0,0,0,2.2,2.2,0.15,-2.2,-2.2,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
201,Taylor Harwood-Bellis,eng ENG,DF,Southampton,22-362,2002,20.6,1,16,6,37.5,0.78,0.29,0.06,0.17,10.3,0,0,0,1.6,1.6,0.10,-0.6,-0.6,Matches,,,,
202,Kai Havertz,de GER,"FW,MF",Arsenal,25-229,1999,19.4,8,48,19,39.6,2.47,0.98,0.17,0.42,11.2,0,0,0,8.9,8.9,0.19,-0.9,-0.9,Matches,,,,
203,Jan Paul van Hecke,nl NED,DF,Brighton,24-232,2000,19.9,0,10,2,20.0,0.50,0.10,0.00,0.00,15.6,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,,,,
204,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-000,1996,6.8,2,5,3,60.0,0.74,0.44,0.40,0.67,17.4,0,0,0,0.8,0.8,0.16,+1.2,+1.2,Matches,,,,
205,Dean Henderson,eng ENG,GK,Crystal Palace,27-320,1997,22.0,0,1,0,0.0,0.05,0.00,0.00,,14.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,,,,
206,Rico Henry,eng ENG,DF,Brentford,27-202,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
207,Mads Hermansen,dk DEN,GK,Leicester City,24-199,2000,15.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
208,Son Heung-min,kr KOR,FW,Tottenham,32-202,1992,15.6,6,38,20,52.6,2.43,1.28,0.16,0.30,17.4,1,0,1,5.0,4.2,0.11,+1.0,+1.8,Matches,,,,
209,James Hill,eng ENG,"DF,MF",Bournemouth,23-016,2002,2.0,0,1,0,0.0,0.50,0.00,0.00,,26.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,,,,
210,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-290,2005,9.5,1,7,3,42.9,0.74,0.32,0.14,0.33,15.1,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches,,,,
211,George Hirst,eng ENG,FW,Ipswich Town,25-346,1999,2.4,1,4,3,75.0,1.66,1.24,0.25,0.33,9.6,0,0,0,1.0,1.0,0.24,0.0,0.0,Matches,,,,
212,Mason Holgate,eng ENG,"FW,DF",Everton,28-096,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
213,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-080,2000,16.9,3,27,10,37.0,1.59,0.59,0.11,0.30,18.6,0,0,0,1.9,1.9,0.07,+1.1,+1.1,Matches,,,,
214,Will Hughes,eng ENG,MF,Crystal Palace,29-284,1995,13.8,0,12,1,8.3,0.87,0.07,0.00,0.00,21.6,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches,,,,
215,Dean Huijsen,es ESP,DF,Bournemouth,19-287,2005,12.8,2,10,2,20.0,0.78,0.16,0.20,1.00,8.3,0,0,0,1.4,1.4,0.14,+0.6,+0.6,Matches,,,,
216,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-088,2003,19.7,2,28,12,42.9,1.42,0.61,0.07,0.17,20.8,2,0,0,1.6,1.6,0.06,+0.4,+0.4,Matches,,,,
217,Rasmus Højlund,dk DEN,FW,Manchester Utd,21-357,2003,11.5,2,12,6,50.0,1.05,0.52,0.17,0.33,14.5,0,0,0,2.4,2.4,0.20,-0.4,-0.4,Matches,,,,
218,Igor,br BRA,DF,Brighton,26-354,1998,10.0,0,1,0,0.0,0.10,0.00,0.00,,14.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,,,,
219,Danny Ings,eng ENG,FW,West Ham,32-187,1992,2.7,1,12,5,41.7,4.37,1.82,0.08,0.20,11.8,0,0,0,2.1,2.1,0.18,-1.1,-1.1,Matches,,,,
220,Tim Iroegbunam,eng ENG,MF,Everton,21-210,2003,4.3,0,4,0,0.0,0.94,0.00,0.00,,20.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,,,,
221,Andy Irving,sct SCO,MF,West Ham,24-258,2000,1.0,0,1,1,100.0,1.03,1.03,0.00,0.00,28.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,,,,
222,Alexander Isak,se SWE,FW,Newcastle Utd,25-127,1999,19.0,17,62,30,48.4,3.27,1.58,0.26,0.53,14.6,3,1,1,14.1,13.3,0.21,+2.9,+2.7,Matches,,,,
223,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-268,1996,20.5,7,43,19,44.2,2.09,0.93,0.16,0.37,18.0,0,0,0,3.3,3.3,0.08,+3.7,+3.7,Matches,,,,
224,Nicolas Jackson,sn SEN,FW,Chelsea,23-220,2001,18.7,9,61,30,49.2,3.26,1.60,0.15,0.30,12.1,0,0,0,11.2,11.2,0.19,-2.2,-2.2,Matches,,,,
225,Reece James,eng ENG,DF,Chelsea,25-049,1999,4.7,1,4,1,25.0,0.85,0.21,0.25,1.00,23.8,1,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
226,Vitaly Janelt,de GER,MF,Brentford,26-261,1998,17.4,1,12,4,33.3,0.69,0.23,0.08,0.25,19.4,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches,,,,
227,Vitezslav Jaros,cz CZE,GK,Liverpool,23-187,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
228,Daniel Jebbison,eng ENG,"FW,MF",Bournemouth,21-166,2003,0.5,0,2,1,50.0,3.75,1.87,0.00,0.00,12.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,,,,
229,Mathias Jensen,dk DEN,MF,Brentford,29-025,1996,7.1,0,5,1,20.0,0.70,0.14,0.00,0.00,21.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,,,,
230,Gabriel Jesus,br BRA,FW,Arsenal,27-298,1997,6.8,3,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0,Matches,,,,
231,Raúl Jiménez,mx MEX,FW,Fulham,33-266,1991,15.4,8,51,19,37.3,3.31,1.23,0.10,0.26,14.5,0,3,3,8.1,5.7,0.11,-0.1,-0.7,Matches,,,,
232,Kim Jisoo,kr KOR,DF,Brentford,20-033,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
233,João Pedro,br BRA,"FW,MF",Brighton,23-122,2001,14.4,5,29,12,41.4,2.02,0.83,0.14,0.33,16.3,0,1,1,3.9,3.1,0.11,+1.1,+0.9,Matches,,,,
234,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-165,1996,20.6,4,39,11,28.2,1.90,0.53,0.10,0.36,13.9,0,0,0,3.7,3.7,0.09,+0.3,+0.3,Matches,,,,
235,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-002,2000,9.2,0,3,2,66.7,0.33,0.22,0.00,0.00,14.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches,,,,
236,Brennan Johnson,wls WAL,FW,Tottenham,23-248,2001,16.6,7,45,16,35.6,2.71,0.97,0.16,0.44,11.7,0,0,0,8.0,8.0,0.18,-1.0,-1.0,Matches,,,,
237,Sam Johnstone,eng ENG,GK,Wolves,31-307,1993,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
238,Curtis Jones,eng ENG,MF,Liverpool,23-362,2001,10.0,3,19,10,52.6,1.91,1.00,0.16,0.30,15.6,0,0,0,2.9,2.9,0.15,+0.1,+0.1,Matches,,,,
239,Jorginho,it ITA,MF,Arsenal,33-037,1991,5.1,0,1,0,0.0,0.20,0.00,0.00,,22.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,,,,
240,Diogo Jota,pt POR,FW,Liverpool,28-053,1996,7.0,5,25,10,40.0,3.58,1.43,0.20,0.50,12.3,0,0,0,4.9,4.9,0.19,+0.1,+0.1,Matches,,,,
241,James Justin,eng ENG,DF,Leicester City,26-338,1998,20.1,2,19,5,26.3,0.94,0.25,0.11,0.40,15.1,1,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches,,,,
242,Filip Jørgensen,dk DEN,GK,Chelsea,22-285,2002,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
243,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-111,1999,4.3,1,4,1,25.0,0.94,0.23,0.25,1.00,15.1,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches,,,,
244,Daichi Kamada,jp JPN,MF,Crystal Palace,28-174,1996,9.6,0,13,4,30.8,1.35,0.42,0.00,0.00,20.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,,,,
245,Boubacar Kamara,fr FRA,MF,Aston Villa,25-064,1999,9.5,0,3,1,33.3,0.32,0.11,0.00,0.00,20.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,,,,
246,Michael Keane,eng ENG,DF,Everton,32-015,1993,9.0,2,8,3,37.5,0.89,0.33,0.25,0.67,14.8,0,0,0,0.4,0.4,0.05,+1.6,+1.6,Matches,,,,
247,Caoimhín Kelleher,ie IRL,GK,Liverpool,26-064,1998,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
248,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-112,1998,3.3,0,2,0,0.0,0.60,0.00,0.00,,5.8,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches,,,,
249,Milos Kerkez,hu HUN,DF,Bournemouth,21-080,2003,22.2,2,13,3,23.1,0.59,0.14,0.15,0.67,20.9,0,0,0,0.4,0.4,0.03,+1.6,+1.6,Matches,,,,
250,Bilal El Khannouss,ma MAR,MF,Leicester City,20-261,2004,10.3,1,9,2,22.2,0.87,0.19,0.11,0.50,22.9,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
251,Abdukodir Khusanov,uz UZB,DF,Manchester City,20-332,2004,0.6,0,1,0,0.0,1.70,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,,,,
252,Max Kilman,eng ENG,DF,West Ham,27-248,1997,21.2,0,10,2,20.0,0.47,0.09,0.00,0.00,7.9,0,0,0,1.4,1.4,0.14,-1.4,-1.4,Matches,,,,
253,Joshua King,eng ENG,"MF,FW",Fulham,18-023,2007,0.9,0,1,0,0.0,1.13,0.00,0.00,,5.3,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches,,,,
254,Antonín Kinský,cz CZE,GK,Tottenham,21-319,2003,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
255,Jakub Kiwior,pl POL,DF,Arsenal,24-346,2000,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
256,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-266,1999,16.0,11,40,18,45.0,2.50,1.13,0.13,0.28,20.8,0,6,6,8.1,3.4,0.09,+2.9,+1.6,Matches,,,,
257,Ibrahima Konaté,fr FRA,DF,Liverpool,25-246,1999,14.5,1,11,2,18.2,0.76,0.14,0.09,0.50,11.2,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches,,,,
258,Ezri Konsa,eng ENG,DF,Aston Villa,27-095,1997,19.1,1,5,2,40.0,0.26,0.10,0.20,0.50,9.1,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches,,,,
259,Mateo Kovačić,hr CRO,MF,Manchester City,30-265,1994,16.2,4,31,7,22.6,1.92,0.43,0.13,0.57,22.0,0,0,0,1.4,1.4,0.04,+2.6,+2.6,Matches,,,,
260,Caleb Kporha,eng ENG,DF,Crystal Palace,18-195,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
261,Emil Krafth,se SWE,DF,Newcastle Utd,30-177,1994,2.7,0,1,0,0.0,0.37,0.00,0.00,,14.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,,,,
262,Mohammed Kudus,gh GHA,"MF,FW",West Ham,24-177,2000,15.4,3,47,14,29.8,3.06,0.91,0.06,0.21,15.6,0,0,0,3.9,3.9,0.08,-0.9,-0.9,Matches,,,,
263,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-276,2000,19.7,6,33,13,39.4,1.68,0.66,0.18,0.46,15.0,0,0,0,3.4,3.4,0.10,+2.6,+2.6,Matches,,,,
